"","obs.agr.alpha","est.alpha","ci.boot.alpha","X","Y"
"2.5%44",0.939655172413793,-0.00183604864154163,-0.00412471371639327,"title_recessie","title_boukes"
"97.5%44",0.939655172413793,-0.00183604864154163,-0.000521571139169464,"title_recessie","title_boukes"
"2.5%45",0.807112068965517,-0.00257076118074373,-0.00754847806419477,"title_recessie","title_LIWC"
"97.5%45",0.807112068965517,-0.00257076118074373,5.65636557521925e-05,"title_recessie","title_LIWC"
"2.5%46",0.669181034482759,-0.0455038786109891,-0.0557851586865982,"title_recessie","title_sentistrength"
"97.5%46",0.669181034482759,-0.0455038786109891,-0.0358214742274891,"title_recessie","title_sentistrength"
"2.5%47",0.701724137931034,-0.00278701263214942,-0.00768483526049312,"title_recessie","title_pattern"
"97.5%47",0.701724137931034,-0.00278701263214942,9.65320590791241e-05,"title_recessie","title_pattern"
"2.5%48",0.480387931034483,0.00129984983117748,-0.00111942958816958,"title_recessie","title_polyglot"
"97.5%48",0.480387931034483,0.00129984983117748,0.00390856236218474,"title_recessie","title_polyglot"
"2.5%49",0.598706896551724,-0.00094657321970848,-0.0064956652228938,"title_recessie","title_DANEW"
"97.5%49",0.598706896551724,-0.00094657321970848,0.00433108419763428,"title_recessie","title_DANEW"
"2.5%50",0.461637931034483,-9.11393612188505e-05,-0.00439770358238678,"title_recessie","title_top4"
"97.5%50",0.461637931034483,-9.11393612188505e-05,0.00394432073151101,"title_recessie","title_top4"
"2.5%51",0.802801724137931,0.180421806379875,0.14485348460878,"title_boukes","title_LIWC"
"97.5%51",0.802801724137931,0.180421806379875,0.215858001316426,"title_boukes","title_LIWC"
"2.5%52",0.654310344827586,0.0209613865427674,-0.00268524635044058,"title_boukes","title_sentistrength"
"97.5%52",0.654310344827586,0.0209613865427674,0.0447943656591675,"title_boukes","title_sentistrength"
"2.5%53",0.671336206896552,0.0179211246595771,-0.00383352813107828,"title_boukes","title_pattern"
"97.5%53",0.671336206896552,0.0179211246595771,0.0387941789843094,"title_boukes","title_pattern"
"2.5%54",0.492241379310345,0.0864381101726013,0.0678749574603561,"title_boukes","title_polyglot"
"97.5%54",0.492241379310345,0.0864381101726013,0.106018203962536,"title_boukes","title_polyglot"
"2.5%55",0.583405172413793,0.0471488557893045,0.0270521814370226,"title_boukes","title_DANEW"
"97.5%55",0.583405172413793,0.0471488557893045,0.069567589069531,"title_boukes","title_DANEW"
"2.5%56",0.479956896551724,0.0948720246219615,0.0755143805188097,"title_boukes","title_top4"
"97.5%56",0.479956896551724,0.0948720246219615,0.115299231011311,"title_boukes","title_top4"
"2.5%57",0.65323275862069,0.18709702022781,0.155127509647162,"title_LIWC","title_sentistrength"
"97.5%57",0.65323275862069,0.18709702022781,0.218251881560313,"title_LIWC","title_sentistrength"
"2.5%58",0.686853448275862,0.268373544994652,0.234073274093196,"title_LIWC","title_pattern"
"97.5%58",0.686853448275862,0.268373544994652,0.297744271192669,"title_LIWC","title_pattern"
"2.5%59",0.533620689655172,0.283006071464756,0.258641255890695,"title_LIWC","title_polyglot"
"97.5%59",0.533620689655172,0.283006071464756,0.305486052715373,"title_LIWC","title_polyglot"
"2.5%60",0.635560344827586,0.334085929820016,0.306955898200754,"title_LIWC","title_DANEW"
"97.5%60",0.635560344827586,0.334085929820016,0.359607375892294,"title_LIWC","title_DANEW"
"2.5%61",0.599568965517241,0.437315529765664,0.415663513040845,"title_LIWC","title_top4"
"97.5%61",0.599568965517241,0.437315529765664,0.458657249499916,"title_LIWC","title_top4"
"2.5%62",0.565301724137931,0.0873816950438059,0.0573978830345176,"title_sentistrength","title_pattern"
